Episode,Observation,Action1,Action2
0,"[ 0.3849861   0.41671395  0.54447779  1.          0.935       1.
  0.54446109  0.41673509  0.3850278  -0.3         0.          0.15726166
  0.38497221  0.4167069   0.54448336  1.          0.93499537  1.
  0.54446665  0.41672804  0.3850139   0.3         0.         -0.10088695
 -0.06621251  0.03707193  0.52250817  0.65418045]",[0. 0.],[0. 0.]
0,"[ 3.84986102e-01  4.16713951e-01  5.44477791e-01  1.00000000e+00
  9.35000001e-01  1.00000000e+00  5.44461087e-01  4.16735091e-01
  3.85027797e-01 -3.00000000e-01 -1.06336206e-23  1.57261661e-01
  3.84972205e-01  4.16706905e-01  5.44483362e-01  1.00000000e+00
  9.34995360e-01  1.00000000e+00  5.44466653e-01  4.16728044e-01
  3.85013898e-01  3.00000000e-01  1.06336206e-23 -1.00886953e-01
 -6.62125131e-02  3.70719250e-02  5.22491582e-01  6.54167206e-01]","[0, 0]","[0, 0]"
0,"[ 3.84986102e-01  4.16713951e-01  5.44477791e-01  1.00000000e+00
  9.35000001e-01  1.00000000e+00  5.44461087e-01  4.16735091e-01
  3.85027797e-01 -3.00000000e-01 -3.19543972e-23  1.57261661e-01
  3.84972205e-01  4.16706905e-01  5.44483362e-01  1.00000000e+00
  9.34995344e-01  1.00000000e+00  5.44466653e-01  4.16728044e-01
  3.85013898e-01  3.00000000e-01  3.19543972e-23 -1.00886953e-01
 -6.62125131e-02  3.70719250e-02  5.22458587e-01  6.54140853e-01]","[0, 0]","[0, 0]"
0,"[ 3.84987367e-01  4.16708246e-01  5.44457266e-01  1.00000000e+00
  9.34942940e-01  1.00000000e+00  5.44481604e-01  4.16740792e-01
  3.85026528e-01 -2.99942940e-01  1.26275950e-06  1.57335136e-01
  3.84973472e-01  4.16701202e-01  5.44462838e-01  1.00000000e+00
  9.34938263e-01  1.00000000e+00  5.44487177e-01  4.16733748e-01
  3.85012633e-01  2.99942940e-01 -1.26275950e-06 -1.00864999e-01
 -6.62125131e-02  3.70719250e-02  5.22409528e-01  6.54101670e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993456e-01  4.16680591e-01  5.44357867e-01  1.00000000e+00
  9.34719233e-01  1.00000000e+00  5.44581042e-01  4.16768454e-01
  3.85020440e-01 -2.99719215e-01  7.33382013e-06  1.57656418e-01
  3.84979567e-01  4.16673554e-01  5.44363443e-01  1.00000000e+00
  9.34714541e-01  1.00000000e+00  5.44586640e-01  4.16761425e-01
  3.85006558e-01  2.99719215e-01 -7.33382013e-06 -1.00744280e-01
 -6.62125131e-02  3.70719250e-02  5.22344922e-01  6.54050073e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993376e-01  4.16680769e-01  5.44358590e-01  1.00000000e+00
  9.34600147e-01  1.00000000e+00  5.44580311e-01  4.16768269e-01
  3.85020515e-01 -2.99600130e-01  7.24816518e-06  1.57734240e-01
  3.84979493e-01  4.16673739e-01  5.44364174e-01  1.00000000e+00
  9.34595445e-01  1.00000000e+00  5.44585917e-01  4.16761247e-01
  3.85006638e-01  2.99600130e-01 -7.24816518e-06 -1.00778236e-01
 -6.62125131e-02  3.70719250e-02  5.22265459e-01  6.53986613e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993398e-01  4.16680552e-01  5.44357860e-01  1.00000000e+00
  9.34651819e-01  1.00000000e+00  5.44581045e-01  4.16768490e-01
  3.85020495e-01 -2.99651801e-01  7.27251643e-06  1.57701249e-01
  3.84979512e-01  4.16673518e-01  5.44363440e-01  1.00000000e+00
  9.34647117e-01  1.00000000e+00  5.44586648e-01  4.16761465e-01
  3.85006617e-01  2.99651801e-01 -7.27251643e-06 -1.00762733e-01
 -6.62125131e-02  3.70719250e-02  5.22172001e-01  6.53911981e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993428e-01  4.16680482e-01  5.44357580e-01  1.00000000e+00
  9.34693539e-01  1.00000000e+00  5.44581328e-01  4.16768562e-01
  3.85020467e-01 -2.99693522e-01  7.30413424e-06  1.57674035e-01
  3.84979540e-01  4.16673446e-01  5.44363158e-01  1.00000000e+00
  9.34688837e-01  1.00000000e+00  5.44586928e-01  4.16761535e-01
  3.85006587e-01  2.99693522e-01 -7.30413424e-06 -1.00750789e-01
 -6.62125131e-02  3.70719250e-02  5.22065581e-01  6.53827004e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993445e-01  4.16680624e-01  5.44357994e-01  1.00000000e+00
  9.34727765e-01  1.00000000e+00  5.44580915e-01  4.16768421e-01
  3.85020451e-01 -2.99727748e-01  7.32313021e-06  1.57650542e-01
  3.84979556e-01  4.16673587e-01  5.44363570e-01  1.00000000e+00
  9.34723064e-01  1.00000000e+00  5.44586513e-01  4.16761392e-01
  3.85006569e-01  2.99727748e-01 -7.32313021e-06 -1.00742176e-01
 -6.62125131e-02  3.70719250e-02  5.21947406e-01  6.53732648e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993461e-01  4.16680742e-01  5.44358333e-01  1.00000000e+00
  9.34756190e-01  1.00000000e+00  5.44580578e-01  4.16768305e-01
  3.85020437e-01 -2.99756173e-01  7.34048160e-06  1.57631046e-01
  3.84979571e-01  4.16673703e-01  5.44363907e-01  1.00000000e+00
  9.34751488e-01  1.00000000e+00  5.44586174e-01  4.16761274e-01
  3.85006553e-01  2.99756173e-01 -7.34048160e-06 -1.00735013e-01
 -6.62125131e-02  3.70719250e-02  5.21818855e-01  6.53630016e-01]","[0, 0]","[0, 0]"
